"","type","name","lat","lon"
"312","station","Kingston Ave & Herkimer St",40.67890679,-73.94142771
"313","station","Fulton St & Utica Ave",40.6794268,-73.9298911
"314","station","Lewis Ave & Decatur St",40.6814598,-73.934903
"315","station","Albany Ave & Fulton St",40.6800105,-73.938475
"316","station","Marcus Garvey Blvd & Macon St",40.682601,-73.938037
"317","station","Halsey St & Tompkins Ave",40.6823687,-73.944118
"318","station","Putnam Ave & Nostrand Ave",40.68402,-73.94977
"319","station","Cambridge Pl & Gates Ave",40.68488,-73.96304
"320","station","Putnam Ave & Throop Ave",40.6851532,-73.94111
"321","station","Lewis Ave & Madison St",40.686312,-73.935775
"322","station","Marcy Ave & Lafayette Ave",40.6900815,-73.947915
"323","station","Greene Ave & Throop Ave",40.6894932,-73.942061
"324","station","Greene Ave & Nostrand Ave",40.6883337,-73.950916
"325","station","Kosciuszko St & Nostrand Ave",40.69072549,-73.95133465
"326","station","Kosciuszko St & Tompkins Ave",40.69128258,-73.9452416
"327","station","Lewis Ave & Kosciuszko St",40.69237074,-73.93705428
"328","station","Pulaski St & Marcus Garvey Blvd",40.6933982,-73.939877
"329","station","Willoughby Ave & Tompkins Ave",40.69425403,-73.94626915
"330","station","Throop Ave & Myrtle Ave",40.69622937,-73.94371094
"331","station","Myrtle Ave & Marcy Ave",40.69539817,-73.94954908
"332","station","Nostrand Ave & Myrtle Ave",40.69527008,-73.95238108
"333","station","Myrtle Ave & Lewis Ave",40.69681963,-73.93756926
"334","station","Union Ave & Wallabout St",40.70029511,-73.95032283
"335","station","Tompkins Ave & Hopkins St",40.69957608,-73.94708417
"336","station","Broadway & Whipple St",40.7016657,-73.9437303
"337","station","Humboldt St & Varet St",40.7031724,-73.940636
"338","station","Lorimer St & Broadway",40.70411791,-73.94818595
"339","station","McKibbin St & Manhattan Ave",40.70510918,-73.94407279
"340","station","Boerum St & Broadway",40.70538077,-73.94976519
"341","station","Leonard St & Boerum St",40.70583339,-73.94644578
"342","station","Division Ave & Hooper St",40.70691254,-73.95441667
"343","station","Montrose Ave & Bushwick Ave",40.70767788,-73.94016171
"344","station","Division Ave & Marcy Ave",40.70708701,-73.95796783
"345","station","Scholes St & Manhattan Ave",40.70870368,-73.9448625
"346","station","Stagg St & Union Ave",40.70877084,-73.95095259
"347","station","Broadway & Roebling St",40.70925562,-73.95982218
"348","station","Leonard St & Grand St",40.71103537,-73.94714303
"349","station","S 4 St & Rodney St",40.70934,-73.95608
"350","station","Graham Ave & Grand St",40.711863,-73.944024
"351","station","Hope St & Union Ave",40.71167351,-73.95141312
"352","station","Bushwick Ave & Powers St",40.71247661,-73.94100005
